Vehicle Type,Brand,Model,Fuel Type,Battery Brand,Series,Item Code,Battery Model,Dimensions,Voltage,Ampere Hour,CCA,Total Warranty,Free Warranty,Pro-rata Warranty,Terminal Layout Image URL,Country of Origin,Base Price,Special Discount,Total Price,Rebate
Two Wheelers,BAJAJ,Discover (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Discover 100 (ES),Petrol,Amaron,,,12V 5AH,,12,5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Discover 125 Drum/Disc (ES),Petrol,Amaron,,,12V 5AH,,12,5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Discover 135 (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Discover 150 F Disc (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Discover 150S Drum/Disc (ES),Petrol,Amaron,,,12V 7AH,,12,7,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Dominar 250 (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Dominar 400 (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Dominar K10 (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Eliminator (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Freedom CNG,Petrol,Amaron,,,12V 3AH,,12,3,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,KB 125/4S (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,KTM 125 (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,KTM 200 (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,KTM 250 (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
